"TIME","GEO","UNIT","NA_ITEM","Value","Flag and Footnotes"
"2009","Euro area (19 countries)","Chain linked volumes, percentage change on previous period, per capita","Gross domestic product at market prices","-4.8",""
"2009","Euro area (12 countries)","Current prices, euro per capita","Gross domestic product at market prices","28,600",""
"2009","Euro area (12 countries)","Chain linked volumes, percentage change on previous period, per capita","Gross domestic product at market prices","-4.7",""
"2009","Belgium","Current prices, euro per capita","Gross domestic product at market prices","32,300",""
"2009","Belgium","Chain linked volumes, percentage change on previous period, per capita","Gross domestic product at market prices","-3.0",""
"2009","Bulgaria","Current prices, euro per capita","Gross domestic product at market prices","4,900",""
"2009","Bulgaria","Chain linked volumes, percentage change on previous period, per capita","Gross domestic product at market prices","-3.1",""
"2009","Czechia","Current prices, euro per capita","Gross domestic product at market prices","14,200",""
"2009","Czechia","Chain linked volumes, percentage change on previous period, per capita","Gross domestic product at market prices","-5.4",""
"2009","Denmark","Current prices, euro per capita","Gross domestic product at market prices","41,900",""
"2009","Denmark","Chain linked volumes, percentage change on previous period, per capita","Gross domestic product at market prices","-5.4",""
"2009","Germany (until 1990 former territory of the FRG)","Current prices, euro per capita","Gross domestic product at market prices","30,600",""
"2009","Germany (until 1990 former territory of the FRG)","Chain linked volumes, percentage change on previous period, per capita","Gross domestic product at market prices","-5.3",""
"2009","Estonia","Current prices, euro per capita","Gross domestic product at market prices","10,600",""
"2009","Estonia","Chain linked volumes, percentage change on previous period, per capita","Gross domestic product at market prices","-14.6",""
"2009","Ireland","Current prices, euro per capita","Gross domestic product at market prices","37,500",""
"2009","Ireland","Chain linked volumes, percentage change on previous period, per capita","Gross domestic product at market prices","-5.9",""
"2009","Greece","Current prices, euro per capita","Gross domestic product at market prices","21,400",""
"2009","Greece","Chain linked volumes, percentage change on previous period, per capita","Gross domestic product at market prices","-4.6",""
"2009","Spain","Current prices, euro per capita","Gross domestic product at market prices","23,300",""
"2009","Spain","Chain linked volumes, percentage change on previous period, per capita","Gross domestic product at market prices","-4.4",""
"2009","France","Current prices, euro per capita","Gross domestic product at market prices","29,900",""
"2009","France","Chain linked volumes, percentage change on previous period, per capita","Gross domestic product at market prices","-3.4",""
"2009","Croatia","Current prices, euro per capita","Gross domestic product at market prices","10,500",""
"2009","Croatia","Chain linked volumes, percentage change on previous period, per capita","Gross domestic product at market prices","-7.2",""
"2009","Italy","Current prices, euro per capita","Gross domestic product at market prices","26,400",""
"2009","Italy","Chain linked volumes, percentage change on previous period, per capita","Gross domestic product at market prices","-6.0",""
"2009","Cyprus","Current prices, euro per capita","Gross domestic product at market prices","23,100",""
"2009","Cyprus","Chain linked volumes, percentage change on previous period, per capita","Gross domestic product at market prices","-4.6",""
"2009","Latvia","Current prices, euro per capita","Gross domestic product at market prices","8,800",""
"2009","Latvia","Chain linked volumes, percentage change on previous period, per capita","Gross domestic product at market prices","-13.0",""
"2009","Lithuania","Current prices, euro per capita","Gross domestic product at market prices","8,500",""
"2009","Lithuania","Chain linked volumes, percentage change on previous period, per capita","Gross domestic product at market prices","-13.9",""
"2009","Luxembourg","Current prices, euro per capita","Gross domestic product at market prices","74,200",""
"2009","Luxembourg","Chain linked volumes, percentage change on previous period, per capita","Gross domestic product at market prices","-6.1",""
"2009","Hungary","Current prices, euro per capita","Gross domestic product at market prices","9,400",""
"2009","Hungary","Chain linked volumes, percentage change on previous period, per capita","Gross domestic product at market prices","-6.5",""
"2009","Malta","Current prices, euro per capita","Gross domestic product at market prices","14,900",""
"2009","Malta","Chain linked volumes, percentage change on previous period, per capita","Gross domestic product at market prices","-3.2",""
"2009","Netherlands","Current prices, euro per capita","Gross domestic product at market prices","37,800",""
"2009","Netherlands","Chain linked volumes, percentage change on previous period, per capita","Gross domestic product at market prices","-4.2",""
"2009","Austria","Current prices, euro per capita","Gross domestic product at market prices","34,500",""
"2009","Austria","Chain linked volumes, percentage change on previous period, per capita","Gross domestic product at market prices","-4.0",""
"2009","Poland","Current prices, euro per capita","Gross domestic product at market prices","8,200",""
"2009","Poland","Chain linked volumes, percentage change on previous period, per capita","Gross domestic product at market prices","1.8",""
"2009","Portugal","Current prices, euro per capita","Gross domestic product at market prices","16,600",""
"2009","Portugal","Chain linked volumes, percentage change on previous period, per capita","Gross domestic product at market prices","-3.1",""
"2009","Romania","Current prices, euro per capita","Gross domestic product at market prices","6,100",""
"2009","Romania","Chain linked volumes, percentage change on previous period, per capita","Gross domestic product at market prices","-5.1",""
"2009","Slovenia","Current prices, euro per capita","Gross domestic product at market prices","17,700",""
"2009","Slovenia","Chain linked volumes, percentage change on previous period, per capita","Gross domestic product at market prices","-8.7",""
"2009","Slovakia","Current prices, euro per capita","Gross domestic product at market prices","11,800",""
"2009","Slovakia","Chain linked volumes, percentage change on previous period, per capita","Gross domestic product at market prices","-5.6",""
"2009","Finland","Current prices, euro per capita","Gross domestic product at market prices","33,900",""
"2009","Finland","Chain linked volumes, percentage change on previous period, per capita","Gross domestic product at market prices","-8.7",""
"2009","Sweden","Current prices, euro per capita","Gross domestic product at market prices","33,300",""
"2009","Sweden","Chain linked volumes, percentage change on previous period, per capita","Gross domestic product at market prices","-6.0",""
"2009","United Kingdom","Current prices, euro per capita","Gross domestic product at market prices","27,700",""
"2009","United Kingdom","Chain linked volumes, percentage change on previous period, per capita","Gross domestic product at market prices","-4.9",""
"2009","Iceland","Current prices, euro per capita","Gross domestic product at market prices","29,500",""
"2009","Iceland","Chain linked volumes, percentage change on previous period, per capita","Gross domestic product at market prices","-6.7",""
"2009","Liechtenstein","Current prices, euro per capita","Gross domestic product at market prices",":",""
"2009","Liechtenstein","Chain linked volumes, percentage change on previous period, per capita","Gross domestic product at market prices",":",""
"2009","Norway","Current prices, euro per capita","Gross domestic product at market prices","57,700",""
"2009","Norway","Chain linked volumes, percentage change on previous period, per capita","Gross domestic product at market prices","-2.9",""
"2009","Switzerland","Current prices, euro per capita","Gross domestic product at market prices","50,200",""
"2009","Switzerland","Chain linked volumes, percentage change on previous period, per capita","Gross domestic product at market prices","-3.4",""
"2009","Former Yugoslav Republic of Macedonia, the","Current prices, euro per capita","Gross domestic product at market prices","3,300","e"
"2009","Former Yugoslav Republic of Macedonia, the","Chain linked volumes, percentage change on previous period, per capita","Gross domestic product at market prices","-0.5","e"
"2009","Albania","Current prices, euro per capita","Gross domestic product at market prices","3,000",""
"2009","Albania","Chain linked volumes, percentage change on previous period, per capita","Gross domestic product at market prices","4.1",""
"2009","Serbia","Current prices, euro per capita","Gross domestic product at market prices","4,400",""
"2009","Serbia","Chain linked volumes, percentage change on previous period, per capita","Gross domestic product at market prices","-2.3",""
"2010","European Union (current composition)","Current prices, euro per capita","Gross domestic product at market prices","25,500",""
"2010","European Union (current composition)","Chain linked volumes, percentage change on previous period, per capita","Gross domestic product at market prices","1.8",""
"2010","European Union (without United Kingdom)","Current prices, euro per capita","Gross domestic product at market prices","24,900",""
"2010","European Union (without United Kingdom)","Chain linked volumes, percentage change on previous period, per capita","Gross domestic product at market prices","2.0",""
"2010","European Union (15 countries)","Current prices, euro per capita","Gross domestic product at market prices","29,800",""
"2010","European Union (15 countries)","Chain linked volumes, percentage change on previous period, per capita","Gross domestic product at market prices","1.7",""
"2010","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Current prices, euro per capita","Gross domestic product at market prices","28,900",""
"2010","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Chain linked volumes, percentage change on previous period, per capita","Gross domestic product at market prices","1.8",""
"2010","Euro area (19 countries)","Current prices, euro per capita","Gross domestic product at market prices","28,500",""
"2010","Euro area (19 countries)","Chain linked volumes, percentage change on previous period, per capita","Gross domestic product at market prices","1.8",""
"2010","Euro area (12 countries)","Current prices, euro per capita","Gross domestic product at market prices","29,300",""
"2010","Euro area (12 countries)","Chain linked volumes, percentage change on previous period, per capita","Gross domestic product at market prices","1.8",""
"2010","Belgium","Current prices, euro per capita","Gross domestic product at market prices","33,500",""
"2010","Belgium","Chain linked volumes, percentage change on previous period, per capita","Gross domestic product at market prices","1.8",""
"2010","Bulgaria","Current prices, euro per capita","Gross domestic product at market prices","5,100",""
"2010","Bulgaria","Chain linked volumes, percentage change on previous period, per capita","Gross domestic product at market prices","2.0",""
"2010","Czechia","Current prices, euro per capita","Gross domestic product at market prices","14,900",""
"2010","Czechia","Chain linked volumes, percentage change on previous period, per capita","Gross domestic product at market prices","2.0",""
"2010","Denmark","Current prices, euro per capita","Gross domestic product at market prices","43,800",""
"2010","Denmark","Chain linked volumes, percentage change on previous period, per capita","Gross domestic product at market prices","1.4",""
"2010","Germany (until 1990 former territory of the FRG)","Current prices, euro per capita","Gross domestic product at market prices","32,100",""
"2010","Germany (until 1990 former territory of the FRG)","Chain linked volumes, percentage change on previous period, per capita","Gross domestic product at market prices","4.3",""
"2010","Estonia","Current prices, euro per capita","Gross domestic product at market prices","11,000",""
"2010","Estonia","Chain linked volumes, percentage change on previous period, per capita","Gross domestic product at market prices","2.4",""
"2010","Ireland","Current prices, euro per capita","Gross domestic product at market prices","36,800",""
"2010","Ireland","Chain linked volumes, percentage change on previous period, per capita","Gross domestic product at market prices","1.5",""
"2010","Greece","Current prices, euro per capita","Gross domestic product at market prices","20,300",""
"2010","Greece","Chain linked volumes, percentage change on previous period, per capita","Gross domestic product at market prices","-5.6",""
"2010","Spain","Current prices, euro per capita","Gross domestic product at market prices","23,200",""
"2010","Spain","Chain linked volumes, percentage change on previous period, per capita","Gross domestic product at market prices","-0.4",""
"2010","France","Current prices, euro per capita","Gross domestic product at market prices","30,700",""
"2010","France","Chain linked volumes, percentage change on previous period, per capita","Gross domestic product at market prices","1.4",""
"2010","Croatia","Current prices, euro per capita","Gross domestic product at market prices","10,500",""
"2010","Croatia","Chain linked volumes, percentage change on previous period, per capita","Gross domestic product at market prices","-1.2",""
"2010","Italy","Current prices, euro per capita","Gross domestic product at market prices","26,800",""
"2010","Italy","Chain linked volumes, percentage change on previous period, per capita","Gross domestic product at market prices","1.3",""
"2010","Cyprus","Current prices, euro per capita","Gross domestic product at market prices","23,300",""
"2010","Cyprus","Chain linked volumes, percentage change on previous period, per capita","Gross domestic product at market prices","-1.3",""
"2010","Latvia","Current prices, euro per capita","Gross domestic product at market prices","8,500",""
"2010","Latvia","Chain linked volumes, percentage change on previous period, per capita","Gross domestic product at market prices","-1.9",""
"2010","Lithuania","Current prices, euro per capita","Gross domestic product at market prices","9,000",""
"2010","Lithuania","Chain linked volumes, percentage change on previous period, per capita","Gross domestic product at market prices","3.8",""
"2010","Luxembourg","Current prices, euro per capita","Gross domestic product at market prices","79,200",""
"2010","Luxembourg","Chain linked volumes, percentage change on previous period, per capita","Gross domestic product at market prices","2.9",""
"2010","Hungary","Current prices, euro per capita","Gross domestic product at market prices","9,900",""
"2010","Hungary","Chain linked volumes, percentage change on previous period, per capita","Gross domestic product at market prices","0.9",""
"2010","Malta","Current prices, euro per capita","Gross domestic product at market prices","15,900",""
"2010","Malta","Chain linked volumes, percentage change on previous period, per capita","Gross domestic product at market prices","3.0",""
"2010","Netherlands","Current prices, euro per capita","Gross domestic product at market prices","38,500",""
"2010","Netherlands","Chain linked volumes, percentage change on previous period, per capita","Gross domestic product at market prices","0.8",""
"2010","Austria","Current prices, euro per capita","Gross domestic product at market prices","35,400",""
"2010","Austria","Chain linked volumes, percentage change on previous period, per capita","Gross domestic product at market prices","1.6",""
"2010","Poland","Current prices, euro per capita","Gross domestic product at market prices","9,400",""
"2010","Poland","Chain linked volumes, percentage change on previous period, per capita","Gross domestic product at market prices","3.5",""
"2010","Portugal","Current prices, euro per capita","Gross domestic product at market prices","17,000",""
"2010","Portugal","Chain linked volumes, percentage change on previous period, per capita","Gross domestic product at market prices","1.9",""
"2010","Romania","Current prices, euro per capita","Gross domestic product at market prices","6,200",""
"2010","Romania","Chain linked volumes, percentage change on previous period, per capita","Gross domestic product at market prices","-2.2",""
"2010","Slovenia","Current prices, euro per capita","Gross domestic product at market prices","17,700",""
"2010","Slovenia","Chain linked volumes, percentage change on previous period, per capita","Gross domestic product at market prices","0.9",""
"2010","Slovakia","Current prices, euro per capita","Gross domestic product at market prices","12,400",""
"2010","Slovakia","Chain linked volumes, percentage change on previous period, per capita","Gross domestic product at market prices","4.8",""
"2010","Finland","Current prices, euro per capita","Gross domestic product at market prices","34,900",""
"2010","Finland","Chain linked volumes, percentage change on previous period, per capita","Gross domestic product at market prices","2.5",""
"2010","Sweden","Current prices, euro per capita","Gross domestic product at market prices","39,400",""
"2010","Sweden","Chain linked volumes, percentage change on previous period, per capita","Gross domestic product at market prices","5.1",""
"2010","United Kingdom","Current prices, euro per capita","Gross domestic product at market prices","29,500",""
"2010","United Kingdom","Chain linked volumes, percentage change on previous period, per capita","Gross domestic product at market prices","0.9",""
"2010","Iceland","Current prices, euro per capita","Gross domestic product at market prices","32,500",""
"2010","Iceland","Chain linked volumes, percentage change on previous period, per capita","Gross domestic product at market prices","-3.1",""
"2010","Liechtenstein","Current prices, euro per capita","Gross domestic product at market prices",":",""
"2010","Liechtenstein","Chain linked volumes, percentage change on previous period, per capita","Gross domestic product at market prices",":",""
"2010","Norway","Current prices, euro per capita","Gross domestic product at market prices","66,300",""
"2010","Norway","Chain linked volumes, percentage change on previous period, per capita","Gross domestic product at market prices","-0.5",""
"2010","Switzerland","Current prices, euro per capita","Gross domestic product at market prices","56,100",""
"2010","Switzerland","Chain linked volumes, percentage change on previous period, per capita","Gross domestic product at market prices","1.9",""
"2010","Former Yugoslav Republic of Macedonia, the","Current prices, euro per capita","Gross domestic product at market prices","3,500","e"
"2010","Former Yugoslav Republic of Macedonia, the","Chain linked volumes, percentage change on previous period, per capita","Gross domestic product at market prices","3.1","e"
"2010","Albania","Current prices, euro per capita","Gross domestic product at market prices","3,100",""
"2010","Albania","Chain linked volumes, percentage change on previous period, per capita","Gross domestic product at market prices","4.2",""
"2010","Serbia","Current prices, euro per capita","Gross domestic product at market prices","4,300",""
"2010","Serbia","Chain linked volumes, percentage change on previous period, per capita","Gross domestic product at market prices","1.1",""
"2011","European Union (current composition)","Current prices, euro per capita","Gross domestic product at market prices","26,200",""
"2011","European Union (current composition)","Chain linked volumes, percentage change on previous period, per capita","Gross domestic product at market prices","1.5",""
"2011","European Union (without United Kingdom)","Current prices, euro per capita","Gross domestic product at market prices","25,600",""
"2011","European Union (without United Kingdom)","Chain linked volumes, percentage change on previous period, per capita","Gross domestic product at market prices","1.6",""
"2011","European Union (15 countries)","Current prices, euro per capita","Gross domestic product at market prices","30,500",""
"2011","European Union (15 countries)","Chain linked volumes, percentage change on previous period, per capita","Gross domestic product at market prices","1.2",""
"2011","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Current prices, euro per capita","Gross domestic product at market prices","29,500",""
"2011","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Chain linked volumes, percentage change on previous period, per capita","Gross domestic product at market prices","1.3",""
"2011","Euro area (19 countries)","Current prices, euro per capita","Gross domestic product at market prices","29,200",""
"2011","Euro area (19 countries)","Chain linked volumes, percentage change on previous period, per capita","Gross domestic product at market prices","1.4",""
"2011","Euro area (12 countries)","Current prices, euro per capita","Gross domestic product at market prices","30,000",""
"2011","Euro area (12 countries)","Chain linked volumes, percentage change on previous period, per capita","Gross domestic product at market prices","1.3",""
"2011","Belgium","Current prices, euro per capita","Gross domestic product at market prices","34,500",""
"2011","Belgium","Chain linked volumes, percentage change on previous period, per capita","Gross domestic product at market prices","0.9",""
"2011","Bulgaria","Current prices, euro per capita","Gross domestic product at market prices","5,600",""
"2011","Bulgaria","Chain linked volumes, percentage change on previous period, per capita","Gross domestic product at market prices","4.5",""
"2011","Czechia","Current prices, euro per capita","Gross domestic product at market prices","15,600",""
"2011","Czechia","Chain linked volumes, percentage change on previous period, per capita","Gross domestic product at market prices","2.0",""
"2011","Denmark","Current prices, euro per capita","Gross domestic product at market prices","44,500",""
"2011","Denmark","Chain linked volumes, percentage change on previous period, per capita","Gross domestic product at market prices","0.9",""
"2011","Germany (until 1990 former territory of the FRG)","Current prices, euro per capita","Gross domestic product at market prices","33,700",""
"2011","Germany (until 1990 former territory of the FRG)","Chain linked volumes, percentage change on previous period, per capita","Gross domestic product at market prices","3.7",""
"2011","Estonia","Current prices, euro per capita","Gross domestic product at market prices","12,500",""
"2011","Estonia","Chain linked volumes, percentage change on previous period, per capita","Gross domestic product at market prices","7.9",""
"2011","Ireland","Current prices, euro per capita","Gross domestic product at market prices","37,400",""
"2011","Ireland","Chain linked volumes, percentage change on previous period, per capita","Gross domestic product at market prices","3.3",""
"2011","Greece","Current prices, euro per capita","Gross domestic product at market prices","18,600","p"
"2011","Greece","Chain linked volumes, percentage change on previous period, per capita","Gross domestic product at market prices","-9.0","p"
"2011","Spain","Current prices, euro per capita","Gross domestic product at market prices","22,900",""
"2011","Spain","Chain linked volumes, percentage change on previous period, per capita","Gross domestic product at market prices","-1.4",""
"2011","France","Current prices, euro per capita","Gross domestic product at market prices","31,500",""
"2011","France","Chain linked volumes, percentage change on previous period, per capita","Gross domestic product at market prices","1.7",""
"2011","Croatia","Current prices, euro per capita","Gross domestic product at market prices","10,500",""
"2011","Croatia","Chain linked volumes, percentage change on previous period, per capita","Gross domestic product at market prices","-0.1",""
"2011","Italy","Current prices, euro per capita","Gross domestic product at market prices","27,300",""
"2011","Italy","Chain linked volumes, percentage change on previous period, per capita","Gross domestic product at market prices","0.2",""
"2011","Cyprus","Current prices, euro per capita","Gross domestic product at market prices","23,200",""
"2011","Cyprus","Chain linked volumes, percentage change on previous period, per capita","Gross domestic product at market prices","-2.1",""
"2011","Latvia","Current prices, euro per capita","Gross domestic product at market prices","9,800",""
"2011","Latvia","Chain linked volumes, percentage change on previous period, per capita","Gross domestic product at market prices","8.4",""
"2011","Lithuania","Current prices, euro per capita","Gross domestic product at market prices","10,300",""
"2011","Lithuania","Chain linked volumes, percentage change on previous period, per capita","Gross domestic product at market prices","8.5",""
"2011","Luxembourg","Current prices, euro per capita","Gross domestic product at market prices","83,100",""
"2011","Luxembourg","Chain linked volumes, percentage change on previous period, per capita","Gross domestic product at market prices","0.2",""
"2011","Hungary","Current prices, euro per capita","Gross domestic product at market prices","10,200",""
"2011","Hungary","Chain linked volumes, percentage change on previous period, per capita","Gross domestic product at market prices","1.9",""
"2011","Malta","Current prices, euro per capita","Gross domestic product at market prices","16,400",""
"2011","Malta","Chain linked volumes, percentage change on previous period, per capita","Gross domestic product at market prices","0.9",""
"2011","Netherlands","Current prices, euro per capita","Gross domestic product at market prices","39,000",""
"2011","Netherlands","Chain linked volumes, percentage change on previous period, per capita","Gross domestic product at market prices","1.1",""
"2011","Austria","Current prices, euro per capita","Gross domestic product at market prices","37,000",""
"2011","Austria","Chain linked volumes, percentage change on previous period, per capita","Gross domestic product at market prices","2.6",""
